Accuracy Gene,Completeness Genus,Completeness Phylum,Homogeneity Genus,Homogeneity Phylum,Index,MCC Gene,Memory Indexing,Memory Searching,Sensitivity Gene,Specificity Gene,Time Indexing,Time Searching,Time Searching Kmeans,Time Training Kmeans,V-Measure Genus,V-Measure Phylum
0.309483726,0.586435118,0.041674745,0.601907753,0.027160462,"PCAR64,Flat",0.295491288,678508623,58711991,0.904109589,0.924528302,8.271468878,8.483624935,0.252580881,159.6117351,0.594070706,0.032887396
0.309483726,0.586435118,0.041674745,0.601907753,0.027160462,"PCAR64,Flat",0.295491288,678508623,58713398,0.904109589,0.924528302,8.271468878,7.700486898,0.251627445,157.8919108,0.594070706,0.032887396
0.309483726,0.586435118,0.041674745,0.601907753,0.027160462,"PCAR64,Flat",0.295491288,678508623,58711991,0.904109589,0.924528302,8.271468878,8.388949394,0.324618578,158.4970906,0.594070706,0.032887396
0.309483726,0.586435118,0.041674745,0.601907753,0.027160462,"PCAR64,Flat",0.295491288,678508623,58711991,0.904109589,0.924528302,8.271468878,7.419317007,0.251612663,159.3954806,0.594070706,0.032887396
0.309483726,0.586435118,0.041674745,0.601907753,0.027160462,"PCAR64,Flat",0.295491288,678508623,58713399,0.904109589,0.924528302,8.271468878,8.162939072,0.324654579,160.2120545,0.594070706,0.032887396
0.309483726,0.586435118,0.041674745,0.601907753,0.027160462,"PCAR64,Flat",0.295491288,678508623,58711991,0.904109589,0.924528302,8.271468878,7.790573359,0.253584623,159.2072618,0.594070706,0.032887396
0.309483726,0.586435118,0.041674745,0.601907753,0.027160462,"PCAR64,Flat",0.295491288,678508623,58711991,0.904109589,0.924528302,8.271468878,8.10223341,0.275593996,158.1748247,0.594070706,0.032887396
0.309483726,0.586435118,0.041674745,0.601907753,0.027160462,"PCAR64,Flat",0.295491288,678508623,58711991,0.904109589,0.924528302,8.271468878,7.538849831,0.260608912,159.9809828,0.594070706,0.032887396
0.362443883,0.586435118,0.041674745,0.601907753,0.027160462,"PCAW64,Flat",0.349668264,678508622,58713124,0.922222222,0.962406015,8.033753395,7.403360605,0.25506568,158.3573515,0.594070706,0.032887396
0.362443883,0.586435118,0.041674745,0.601907753,0.027160462,"PCAW64,Flat",0.349668264,678508622,58713398,0.922222222,0.962406015,8.033753395,7.768991232,0.279589891,158.142374,0.594070706,0.032887396
0.362443883,0.586435118,0.041674745,0.601907753,0.027160462,"PCAW64,Flat",0.349668264,678508622,58711991,0.922222222,0.962406015,8.033753395,8.091197014,0.321048975,159.0241559,0.594070706,0.032887396
0.362443883,0.586435118,0.041674745,0.601907753,0.027160462,"PCAW64,Flat",0.349668264,678508622,58711991,0.922222222,0.962406015,8.033753395,7.37246871,0.263585091,158.4545724,0.594070706,0.032887396
0.362443883,0.586435118,0.041674745,0.601907753,0.027160462,"PCAW64,Flat",0.349668264,678508622,58711991,0.922222222,0.962406015,8.033753395,8.074923277,0.304670095,157.3994071,0.594070706,0.032887396
0.362443883,0.586435118,0.041674745,0.601907753,0.027160462,"PCAW64,Flat",0.349668264,678508622,58711991,0.922222222,0.962406015,8.033753395,7.651945829,0.259610891,158.9085996,0.594070706,0.032887396
0.362443883,0.586435118,0.041674745,0.601907753,0.027160462,"PCAW64,Flat",0.349668264,678508622,58713398,0.922222222,0.962406015,8.033753395,7.929114103,0.297604322,159.0178528,0.594070706,0.032887396
0.362443883,0.586435118,0.041674745,0.601907753,0.027160462,"PCAW64,Flat",0.349668264,678508622,58711991,0.922222222,0.962406015,8.033753395,7.871657848,0.253601074,158.7606692,0.594070706,0.032887396
0.362443883,0.586435118,0.041674745,0.601907753,0.027160462,"PCAW64,Flat",0.349668264,678508622,58713396,0.922222222,0.962406015,8.033753395,7.634265184,0.298606396,160.1682472,0.594070706,0.032887396
